category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
03/0E,Language Selection,Seleção de Idioma,言語設定（南米ポルトガル語）,1671,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 35}]",metadata_present
03/0F,Language Selection,Seleção de Idioma,言語設定 (EU) 12ヶ国語,1693,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""10"": 9, ""11"": 10, ""12"": 11, ""13"": 255}","[{""source"": 80, ""menu"": 31}]",metadata_present
03/10,Language Selection,Seleção de Idioma,言語設定 (EU) 13ヶ国語,1726,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""10"": 9, ""11"": 10, ""12"": 11, ""13"": 12, ""14"": 255}","[{""source"": 80, ""menu"": 36}]",metadata_present
03/11,Language Selection,Seleção de Idioma,言語設定 (ロシア),1760,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 34}]",metadata_present
03/12,Warning Message,Mensagem de aviso,ﾜｰﾆﾝｸﾞﾒｯｾｰｼﾞ表示,1782,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 5}]",metadata_present
03/13,Adjust Outside Temp. Display,Ajustar tela de temperatura ext.,外気温表示補正(℃表示),1804,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6}","[{""source"": 80, ""menu"": 6}]",metadata_present
03/14,Adjust Outside Temp. Display,Ajustar tela de temperatura ext.,外気温表示補正(°F表示),1831,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7, ""9"": 8, ""10"": 9, ""11"": 10}","[{""source"": 80, ""menu"": 7}]",metadata_present
03/15,Trip A & Average Fuel Economy A Refueling Interlock Reset,,TRIP A & 平均燃費Aの給油連動リセット,1862,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 8}]",metadata_present
03/16,Trip A & Average Power Consumption A Charging Interlock Reset,,ﾄﾘｯﾌﾟA&平均電費Aの充電連動ﾘｾｯﾄ,1884,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/17,Change Reset Conditions for Elapsed Time,,経過時間のﾘｾｯﾄ条件切り替え,1904,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 9}]",metadata_present
03/18,"""Trip A"" Reset Timing",Zerar o tempo da Viagem A,TRIP A リセット条件(非PHEV車),1927,0,"{""1"": 0, ""2"": 2, ""3"": 1}","[{""source"": 80, ""menu"": 26}]",metadata_present
03/19,"""Trip B"" Reset Timing",Zerar o tempo da Viagem B,TRIP B リセット条件(非PHEV車),1950,0,"{""1"": 0, ""2"": 2, ""3"": 1}","[{""source"": 80, ""menu"": 27}]",metadata_present
03/1A,"""Trip A"" Reset Timing",Zerar o tempo da Viagem A,TRIP A リセット条件(PHEV車),1973,0,"{""1"": 0, ""2"": 3, ""3"": 2, ""4"": 1}","[{""source"": 80, ""menu"": 23}]",metadata_present
03/1B,"""Trip B"" Reset Timing",Zerar o tempo da Viagem B,TRIP B リセット条件(PHEV車),1997,0,"{""1"": 0, ""2"": 3, ""3"": 2, ""4"": 1}","[{""source"": 80, ""menu"": 24}]",metadata_present
03/1C,Select Drive Computer Display,,ﾄﾞﾗｲﾌﾞｺﾝﾋﾟｭｰﾀ表示選択,2021,0,"{""1"": 0, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4}",[],no_xml_route
03/1D,Adjust Alarm Volume,Ajustar Volume do Alarme,ｱﾗｰﾑ音量調整,2044,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 11}]",metadata_present
